,id,dimension,nombre,regimen,localidad,capacidad,geometry,r1_caminable,r1_bicicleta,r1_transporte
356,46008698,educacion,CEIP VIRGEN DEL ROSARIO,PÚB.,TORRENT,29.0,POINT (718536.8010726197 4368516.384223163),0.0094340706714338,0.005147132907849954,0.0031896633681468816
357,46008704,educacion,CEIP LOPE DE VEGA,PÚB.,TORRENT,27.0,POINT (717683.7726686073 4368187.68480973),0.002901392380922899,0.006972213580073616,0.0005678309918125034
358,46008716,educacion,CEIP JUAN XXIII,PÚB.,TORRENT,19.0,POINT (717744.7751227561 4368945.128597288),0.002633584923590913,0.010066308258688718,0.0029762331480793955
359,46008728,educacion,CEIP SANT PASQUAL,PÚB.,TORRENT,71.0,POINT (717289.7975251286 4367321.933369963),0.010172059350686062,0.002471200625687064,0.003297024776932454
360,46008731,educacion,CEIP FEDERICO MAICAS,PÚB.,TORRENT,35.0,POINT (716954.5110784882 4367879.096038192),0.018397428223209188,0.008653377596475163,0.0014414152275100442
361,46008741,educacion,CEIP SAN JUAN BAUTISTA,PÚB.,TORRENT,9.0,POINT (718151.330091256 4367630.935611946),0.0014371397336715188,0.004139123986941303,0.002471200625687064
367,46009009,educacion,CEIP MANUEL GONZÁLEZ MARTÍ,PÚB.,BENIFARAIG,39.0,POINT (725122.0975770722 4378896.593437707),0.004638273741384137,0.2031276487369252,0.22286172883012292
368,46009034,educacion,CENTRE PRIVAT EL AVE MARÍA,PRIV. CONC.,BENIMAMET-BENIFERRI,45.0,POINT (721489.377573652 4375519.635020823),0.00037580114530973944,0.00040184175146645287,0.001707671406005531
369,46009061,educacion,CEIP CAMI DE L'HORTA,PÚB.,BENIMAMET-BENIFERRI,10.0,POINT (721967.0203781433 4374793.990788421),0.008237336182547537,0.001738914696824996,0.33333994343418266
370,46009071,educacion,CEIP BENIMÀMET,PÚB.,BENIMAMET-BENIFERRI,34.0,POINT (722535.5983220595 4375591.306061364),0.0038291353322990967,0.0019280428441792574,0.00927713056936633
371,46009150,educacion,CENTRE PRIVAT NUESTRA SEÑORA DEL ROSARIO,PRIV. CONC.,VALÈNCIA,15.0,POINT (726804.164295533 4367616.520141184),0.15714485834075545,0.18333519439500034,0.0009081092128996852
372,46009216,educacion,CEIP JOSÉ SENENT,PÚB.,MASARROCHOS,6.0,POINT (722946.205272813 4379997.379018157),0.006024143233274309,0.0013483311222426094,0.008982124301096864
373,46009368,educacion,CENTRE PRIVAT MARTÍ SOROLLA,PRIV. CONC.,VALÈNCIA,73.0,POINT (725852.1350443445 4370192.626106921),0.0024300481002162903,0.0011215526412241402,0.0048204738122781055
374,46009371,educacion,CENTRE PRIVAT ESCUELAS PÍAS,PRIV. CONC.,VALÈNCIA,57.0,POINT (725164.3280137606 4372652.173857285),0.0005471188885426907,0.008835519891113447,0.0007615336093248358
375,46009460,educacion,CENTRE PRIVAT SAGRADO CORAZÓN DE JESÚS -CARMELITAS-,PRIV. CONC.,VALÈNCIA,10.0,POINT (725787.3007752062 4373209.459520452),0.0009445224967194961,0.0011897812843086964,0.00014629790382038375
376,46009472,educacion,CENTRE PRIVAT GRAN ASOCIACIÓN,PRIV. CONC.,VALÈNCIA,25.0,POINT (725519.3870146805 4373297.64199502),0.00048570498164672045,0.012951523725553134,0.0008408573595941353
377,46009526,educacion,CENTRE PRIVAT ESCOLANÍA NTRA.SRA.DESAMPARADOS,PRIV. CONC.,VALÈNCIA,3.0,POINT (726104.3995617293 4372837.53449694),0.003150096815962089,0.0030858293515694337,0.00015798002594243757
378,46009708,educacion,CENTRE PRIVAT SAN JOSÉ HH. FRANCISCANAS DE LA INMACULADA,PRIV. CONC.,VALÈNCIA,7.0,POINT (726366.7332636786 4371461.587991853),0.014736452837766818,0.007568693904595374,8.588569286147186e-05
379,46009711,educacion,CENTRE PRIVAT SAN VICENTE FERRER-DOMINICOS,PRIV. CONC.,VALÈNCIA,75.0,POINT (726296.1177979144 4371957.019467804),0.016382909321841856,0.004808694516080361,0.0008913036260942067
380,46009721,educacion,CENTRE PRIVAT NUESTRA SEÑORA DE LORETO,PRIV. CONC.,VALÈNCIA,75.0,POINT (726916.6286666507 4371551.216186119),0.002870869803548487,0.001531125676696014,0.002534508082988922
381,46009733,educacion,CENTRE PRIVAT SAGRADO CORAZÓN HH. MARISTAS,PRIV. CONC.,VALÈNCIA,75.0,POINT (726822.9737194229 4371697.012284016),0.007639189087515228,0.0007541536198306481,0.0025987929771105604
382,46009812,educacion,CENTRE PRIVAT LICEO CORBI,PRIV. CONC.,VALÈNCIA,31.0,POINT (726871.6618753201 4371163.390297854),0.0007614753901516571,0.00015863149481266397,0.0011207703944066361
